# filename AS_contrast XY_contrast Chi2_catalog Chi2_int Pos_uncertainty(arcsec)
           rlmi.0231.fits 10.27  9.12  0.0000006  0.0000004  0.0402
           rlmi.0232.fits 11.37  9.66  0.0000006  0.0000003  0.0407
           rlmi.0233.fits 12.74  9.35  0.0000006  0.0000003  0.0404
           rlmi.0234.fits 13.17  9.37  0.0000007  0.0000004  0.0440
           rlmi.0236.fits 11.55 11.08  0.0000007  0.0000003  0.0451
           rlmi.0237.fits 12.71  9.79  0.0000007  0.0000003  0.0425
           rlmi.0238.fits 10.61  9.53  0.0000008  0.0000003  0.0463
           rlmi.0239.fits 10.80  9.35  0.0000006  0.0000003  0.0407
           rlmi.0241.fits 11.06  9.62  0.0000006  0.0000003  0.0394
           rlmi.0242.fits 10.66  9.51  0.0000008  0.0000004  0.0467
           rlmi.0243.fits  9.83 10.09  0.0000008  0.0000003  0.0475
